int,string
ID,KOR_String
40100001,늑대는 멍멍...?
40100002,무거운 짐
40100003,공포가 아니라 공격?
40100004,앞으로 앞으로
40100005,이건 우리 운명이 아니었는데
40100006,
40100007,
40100008,
40100009,
40100010,
40100011,
40100012,
40100013,
40100014,
40100015,
40100016,
40100017,
40100018,
40100019,
40100020,
40200001,사파리의 광란
40200002,사파리의 광란 2
40200003,이건 우리 운명인가?
40200004,공포는 아니지만
40200005,로컬 퀘스트 ID
40200006,로컬 퀘스트 ID
40200007,로컬 퀘스트 ID
40200008,로컬 퀘스트 ID
40200009,로컬 퀘스트 ID
40200010,로컬 퀘스트 ID
40300001,디벨롭퀘스트ID
40300002,디벨롭퀘스트ID
40300003,디벨롭퀘스트ID
40300004,디벨롭퀘스트ID
40300005,디벨롭퀘스트ID
40110001,곰이 버그로 인해 갑자기 강력한 에너지파 공격을 할 때가 있으니 주의!
40110002,탈것은 공격을 할 수가 없어야 하는데?
40110003,거미의 공격은 매우 빠르니 주의해서 회피하도록 하자
40110004,멧돼지의 공격은 뒤로 피하면 피하기가 힘드니 좌우로 회피하도록 하자
40110005,그레이의 공격은 이펙트가 잘 안보이니 바닥을 조심해서 피하도록 하자
40110006,"어째서 호러에 있어야 하는 개체가 동물원에 있는지도 의문이지만, 다른 동물들과 같이 이 개체도 이상하게 공격적이다. 제압하고 분석해서 원인을 밝혀보자."
40110007,판타지에 있어야할 흑마법사 김철수씨가 어째서 여기에…? 일단 본인과 주변에 광란 마법을 흩뿌리고 있는걸로 보아 원인은 김철수씨인것 같다. 그를 제압하고 동물원의 평화를 되찾자.
40110008,"동물원의 일이 일단락 되고, 새로운 버그 리포트를 받아든 당신. 이번엔 저번에 갔던 호러 장르의 객체들이 수상한 공격을 한다고 하는데.. 무슨일인지 파악해보자"
40110009,"대체 어떤 방식으로 추가타를 가하는지는 모르겠지만, 공격이 잘 보이지도 않는다… 객체들의 버그를 고쳐가며 원인을 파악해 보자"
40110010,추가타를 가하는 버그가 사람들을 놀래켜서 인기가 과하게 떨어졌던 것이었다. 추가타의 원인은…. 또 흑마법사 김철수?!
40110011,헤힣ㅎㅎㅎ ㅋㅋ힣ㅎㅎ힠ㅋ킼
40110012,흫헥ㄱㄱㅋㅋㅋㅋㅎ햨ㅋㅋ켴ㅋㅋㅋ
40110013,"로컬 분류, 메이저 난이도 테스트."
40110014,"로컬 분류, 메이저 난이도 테스트."
40110015,"디벨롭 분류, 크리티컬 난이도 테스트"
40110016,글로벌퀘스트설명
40110017,글로벌퀘스트설명
40110018,글로벌퀘스트설명
40110019,글로벌퀘스트설명
40110020,글로벌퀘스트설명
40210001,"보상으로 강화모듈1, 2 획득 가능!"
40210002,"보상으로 강화모듈1, 2 획득 가능!"
40210003,"보상으로 강화모듈3,4,5 획득 가능!"
40210004,"보상으로 강화모듈3,4,5 획득 가능!"
40210005,로컬퀘스트설명
40210006,로컬퀘스트설명
40210007,로컬퀘스트설명
40210008,로컬퀘스트설명
40210009,로컬퀘스트설명
40210010,로컬퀘스트설명
40310001,디벨롭퀘스트설명
40310002,디벨롭퀘스트설명
40310003,디벨롭퀘스트설명
40310004,디벨롭퀘스트설명
40310005,디벨롭퀘스트설명
41000001,icon_alien
41000002,icon_wolf
41000003,icon_spider
41000004,icon_boar
41000005,icon_bear
